tutkintokerta;koulun_nro;koulun_nimi;opetuskieli;tyyppi;sukup;yht;A;O;Z;I;W;Q;A5;O5;M;N;BI;FF;FY;HI;PS;UE;UO;ET;GE;KE;TE;YH;BA;BB;CA;CB;EA;FA;SA;PA;VA;EC;FC;SC;PC;VC;DC;IC;QC;GC;TC;L1;L7;opintotausta
2024K;1205;Schildtin lukio;FI;;2;14;3;;;;;;;;;2;;;;;;;;;;;4;3;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;17;3;;;;;;;;2;;;;;;;;;;;;4;3;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;26;4;;;;;;;;5;;;;3;;;;;;6;4;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;15;4;;;;;;;;;;;;;3;;3;;;;;;;;2;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;20;5;;;;;;;;3;;4;;;;;;;;;3;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;17;4;;;;;;;;;3;;;;3;3;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;34;7;;;;;;;;;6;;;;;7;;;7;;;;;;;;;7;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;18;3;;;;;;;;;6;4;;;;;;;;;3;;;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;23;5;;;;;;;;;6;;;;4;;;;;;;;5;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;23;3;;;;;;;;6;;;;4;;;;;;4;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;28;6;;;;;;;;5;;;;6;;;;;;;;;;;6;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;20;4;;;;;;;;5;;;;3;;;;;;;;;5;;;;;;;;;;3;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;19;5;;;;;;;;;4;;;;4;;;;;;;;3;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;16;2;;;;;;;;;2;;;;;;;;;;;5;4;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;22;3;;;;;;;;5;;;;4;;;;;;;;;;;4;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;17;4;;;;;;;;;3;5;;;;;;;;;2;;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;16;3;;;;;;;;;3;;;;;2;;;;;;4;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;23;4;;;;;;;;3;;3;;;;;;;;;;5;4;;4;;;;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;29;5;;;;;;;;;3;;;;5;4;;;;;;3;5;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;15;2;;;;;;;;;4;;;;3;;;;;;;;4;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;32;4;;;;;;;;3;;;;;;6;;;;;;7;;;6;;;;;;;;6;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;12;4;;;;;;;;;0;;;;;3;;;;;;3;;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;15;3;;;;;;;;;;;;;3;;3;;;;;;;;2;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;15;2;;;;;;;;;3;;;;;3;;;;;;3;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;24;6;;;;;;;;;3;;;;6;5;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;26;5;;;;;;;;;;;;;;5;;;;;;6;;;5;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;29;4;;;;;;;;3;;5;;;;6;;;;;;7;;;;;;;;;;;4;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;23;4;;;;;;;;;4;;;;;3;;;;;;4;4;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;20;4;;;;;;;;;3;4;;;4;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;16;2;;;;;;;;4;;5;;2;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;22;4;;;;;;;;5;;;;5;;;;;;;5;;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;20;3;;;;;;;;;3;;;;3;2;;;;;;5;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;36;6;;;;;;;;6;;;;;7;;;;;;;;7;;4;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;22;6;;;;;;;;4;;4;;;;;;;;4;;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;21;5;;;;;;;;;4;;;;;3;;;;4;;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;21;3;;;;;;;;;;;;;3;;;;;;;;;;3;;;5;;;;5;;;;2;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;24;6;;;;;;;;5;;4;;4;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;20;4;;;;;;;;;4;;;;4;5;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;19;3;;;;;;;;;4;;;;2;;;;;;;;4;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;12;2;;;;;;;;2;;2;;;;;;;;;;4;;;;;;;;;;;2;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;22;4;;;;;;;;5;;;;4;;;;;;;;;4;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;30;7;;;;;;;;5;;;;;6;;;;;;;;6;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;21;5;;;;;;;;;4;;;;;5;;;;;;5;;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;25;3;;;;;;;;4;;;;;;;;;;;;;6;;6;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;14;3;;;;;;;;;2;;;;;4;;;;;;3;;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;34;4;;;;;;;;6;;6;;7;;;;;;;6;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;20;5;;;;;;;;;3;;;;;;;;;;;4;;;3;;;2;;;;;3;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;14;3;;;;;;;;;2;;;;;;;;;;;2;;4;;;;;;;;;3;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;19;4;;;;;;;;;4;;;;;;;;;4;;;3;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;20;4;;;;;;;;;3;3;;;;;;;;;;5;;2;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;17;4;;;;;;;;;3;;;;;2;;;;;;;;;4;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;30;6;;;;;;;;;7;;6;;;;;;5;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;31;6;;;;;;;;6;;7;;;;7;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;15;4;;;;;;;;;2;;;;;3;;;;;;;3;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;16;4;;;;;;;;;;;;;;;;;2;;;4;;;3;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;13;0;;;;;;;;;3;;;;;2;;;;;;2;;;2;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;17;3;;;;;;;;;5;;4;;2;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;15;2;;;;;;;;;;;;;3;;3;;;;;;;;3;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;17;3;;;;;;;;;4;3;;;;;;;;4;;;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;33;6;;;;;;;;;5;;;;;4;;;;5;;;;;;;;6;;;;;;;;7;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;32;4;;;;;;;;;5;;;;5;4;6;;;;;;;;;;;4;;;;;;;;4;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;24;4;;;;;;;;;2;;6;;;;;;;;;;5;;;;;4;;;;;;;;3;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;32;6;;;;;;;;;4;;;;;5;6;;;;;;6;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;13;2;;;;;;;;;3;;;;;;;;;;;4;2;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;16;3;;;;;;;;;2;;;;;3;;;;;;4;;;2;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;19;4;;;;;;;;3;;4;;;;;;;;;4;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;23;3;;;;;;;;;3;4;5;;;3;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;27;5;;;;;;;;;5;;;;5;;;;;;;;4;;;;;4;;;;;;;;4;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;12;4;;;;;;;;;2;0;;;;4;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;23;6;;;;;;;;;4;3;;;;;;;;;;6;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;36;7;;;;;;;;5;;;;;7;6;;;;;;;;;;;;6;;;;;;5;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;23;5;;;;;;;;;4;;;;;;;;;;;7;4;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;22;4;;;;;;;;4;;;;;4;;;;;5;;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;15;3;;;;;;;;;2;3;;;;;;;;;;3;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;19;3;;;;;;;;4;;4;;4;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;14;3;;;;;;;;3;;;;;;;;;;;;2;3;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;19;5;;;;;;;;3;;3;;;;;;;;;3;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;21;6;;;;;;;;3;;;;;;4;;;;;;;5;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;26;3;;;;;;;;4;;5;;;;;;;;7;;;;;;;;2;;;;;5;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;20;5;;;;;;;;4;;;;;;3;;;;;;;5;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;16;2;;;;;;;;;3;;;;;;;;;4;;4;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;19;4;;;;;;;;;4;;;;4;;;;;;;;;;;;;5;;;;;;;;2;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;33;6;;;;;;;;6;;5;;5;;;;;;;5;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;34;6;;;;;;;;6;;5;;6;;;;;;;5;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;24;4;;;;;;;;;5;;;;5;;;;;;;5;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;28;4;;;;;;;;4;;;;5;;;;;;;4;;;;4;;;7;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;13;4;;;;;;;;;2;;;;;;;;;;;;3;;2;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;26;4;;;;;;;;6;;;;7;;;;;;;;;5;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;23;4;;;;;;;;3;;;;3;;;;;;4;;;;;5;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;16;3;;;;;;;;2;;;;;;4;;;;;;4;;;3;;;;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;17;3;;;;;;;;4;;;;3;;;;;;;;4;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;21;5;;;;;;;;;3;;;;;;;;;4;;6;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;35;6;;;;;;;;6;;;;;;5;;;;;;;;;7;;;5;;;;;6;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;14;2;;;;;;;;2;;3;;;;4;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;11;2;;;;;;;;2;;2;;;;3;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;27;5;;;;;;;;;7;;;;;5;;;;;;7;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;16;3;;;;;;;;3;;;;;2;3;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;17;2;;;;;;;;3;;;;;3;;;;;;;;5;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;23;4;;;;;;;;4;;;;;4;;;;;;;;4;;;;;;;7;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;39;5;;;;;;;;6;;6;;5;;;;;;;5;;;;5;;;7;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;26;4;;;;;;;;;3;;;;;5;;;;;;6;;;5;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;28;4;;;;;;;;5;;5;;;;6;;;;;3;;;;5;;;;;;;;;;;;;;;;;;;;3
2024K;1205;Schildtin lukio;FI;;2;39;7;;;;;;;;5;;;;;;7;;;;;;;7;;7;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;18;3;;;;;;;;;2;;;;3;;;;;;;;4;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;22;5;;;;;;;;;3;;;;3;;;;;2;;;;;4;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;12;4;;;;;;;;0;;2;;2;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;26;5;;;;;;;;;6;;;;5;;;;;;;;5;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;27;5;;;;;;;;;6;;6;4;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;21;4;;;;;;;;4;;4;;;;;;;;;;6;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;15;3;;;;;;;;;2;;;;;;;;;;;3;3;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;28;5;;;;;;;;;5;6;;;6;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;18;4;;;;;;;;;2;;;;;4;;;;;;5;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;17;4;;;;;;;;;4;3;;;;3;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;24;6;;;;;;;;4;;;;4;;;;;;;;;;;4;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;29;5;;;;;;;;3;;;;;;;;;;5;;;;;6;;;6;;;;;;;;4;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;20;4;;;;;;;;;3;;;;2;;;;;3;;;3;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;14;2;;;;;;;;;3;;;;;3;;;;;;4;;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;35;7;;;;;;;;5;;6;;;;;;;;;5;;;;6;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;20;3;;;;;;;;4;;;;3;;;;;;;;;3;;3;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;17;3;;;;;;;;3;;;;;;3;;;;;;;;;3;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;23;4;;;;;;;;;4;;;;;5;;;;;;7;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;15;2;;;;;;;;;;;;;;3;;;;;;3;;;3;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;35;6;;;;;;;;6;;;;;6;;;;;7;;;;;6;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;17;3;;;;;;;;;;;;;4;;;;;;;;;;2;;;5;;;;;;;3;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;27;5;;;;;;;;4;;;;4;;;;;;;;5;4;;;;;;;;;;5;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;20;5;;;;;;;;;3;4;;;;;;;;;;;3;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;14;2;;;;;;;;2;;3;;3;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;19;4;;;;;;;;;3;;;;;2;;;;;;6;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;24;5;;;;;;;;3;;;;;;4;;;;;;6;;;3;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;15;3;;;;;;;;;2;;;;;3;;;;;;5;;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;25;6;;;;;;;;5;;6;;5;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;22;4;;;;;;;;4;;;;4;;;;;;4;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;27;4;;;;;;;;;4;;;;;4;;;;;;;5;;;;;4;;;;6;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;27;5;;;;;;;;6;;;;4;5;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;18;4;;;;;;;;4;;4;;;;;;;;;4;;;;;;;;;;;;2;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;14;;;;;;;4;;;3;3;;;;2;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;18;3;;;;;;;;3;;;;;;;;;;3;;;4;;;;;;;;;;5;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;20;4;;;;;;;;3;;4;;;;;;;;;;;4;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;17;4;;;;;;;;3;;3;;;;;;;;4;;;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;28;5;;;;;;;;7;;;;5;;;;;;;5;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;35;6;;;;;;;;6;;6;;5;;;;;;;6;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;18;3;;;;;;;;;2;;;;;;;;;;;4;2;;2;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;16;3;;;;;;;;;2;;;;;3;;;;;;5;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;30;4;;;;;;;;;4;;;;;3;;;;;;4;;;5;;;6;;;;;;;4;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;21;3;;;;;;;;;4;;;;;;;;;5;;;4;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;20;3;;;;;;;;4;;;;4;;;;;;;5;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;14;4;;;;;;;;2;;;;;3;;;;;;;;3;;;;;;;;;;2;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;19;4;;;;;;;;4;;;;2;;;;;;;;;;;4;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;15;3;;;;;;;;;3;;;;;2;;;;;;;;;3;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;17;3;;;;;;;;;4;;;;;;;;;;;;3;;3;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;15;;;;;;;5;;2;;2;;2;;;;;;;2;;;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;12;2;;;;;;;;;3;;;;2;;;;;;;;3;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;27;5;;;;;;;;4;;4;;3;;;;;;;3;5;;;3;;;;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;28;5;;;;;;;;;6;5;;;6;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;11;2;;;;;;;;;2;;;;2;;;;;3;;;;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;18;4;;;;;;;;3;;4;;;;;;;;;3;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;10;3;;;;;;;;;2;;;;;;;;;;;;3;;;;;2;;;;;;;;;0;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;17;4;;;;;;;;;3;;;;;2;;;;;;;;;;;;5;;;;;;;;;3;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;26;6;;;;;;;;;5;;;;6;;;;;;;;5;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;22;4;;;;;;;;;3;3;;;;;;;;;3;4;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;25;6;;;;;;;;;5;;;;4;;6;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;17;3;;;;;;;;;4;;;;;;;;;;;4;3;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;14;3;;;;;;;;;0;;;;;;;;;;;4;4;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;30;5;;;;;;;;;;;;;5;;;;;;;5;6;;5;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;31;6;;;;;;;;4;;;;;5;6;;;;;;;;;5;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;22;4;;;;;;;;4;;;;2;;;;;;;;;3;;5;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;20;5;;;;;;;;4;;4;;;;;;;;;4;;;;3;;;;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;13;3;;;;;;;;;2;2;;;;;;;;;;3;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;30;7;;;;;;;;5;;;;;5;;;;;;;;6;;;;;7;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;27;4;;;;;;;;4;;5;;;;4;;;;;;;;;5;;;;;;;;5;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;21;5;;;;;;;;4;;4;;3;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;26;4;;;;;;;;5;;;;5;;;;;;;;;6;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;14;2;;;;;;;;;3;;;;;;;;;;;4;3;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;29;5;;;;;;;;5;;5;;4;;;;;;;4;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;17;3;;;;;;;;2;;3;;;;;;;;;;;4;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;23;4;;;;;;;;5;;;;6;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;22;3;;;;;;;;5;;5;;;;;;;;;4;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;18;4;;;;;;;;;;4;;;;;;;;;;3;;;4;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;21;3;;;;;;;;5;;;;4;;;;;;;;;;;3;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;14;2;;;;;;;;;3;;;;;;;;;;;3;;;3;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;19;2;;;;;;;;;4;4;;;;3;;;;4;;;;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;14;2;;;;;;;;3;;;;3;;;;;;;;;2;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;33;5;;;;;;;;6;;;;;5;;;;;5;;;;;6;;;6;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;25;4;;;;;;;;6;;;;6;;;;;;;;;;;4;;;5;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;1;16;3;;;;;;;;;4;;;;;3;;;;;;3;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1205;Schildtin lukio;FI;;2;23;5;;;;;;;;;4;;;;;4;;;;;;;;;6;;;4;;;;;;;;;;;;;;;;;1
